order_id,order_date,product_id,region,vendor,quantity,unit_price,total_price
b5ba7f27-84fb-41c4-91fc-2876cdc72340,2024-07-18,7cffdb73-1fc8-4b56-a547-d987fa5fa3c3,Centro-Oeste,Fabio Melo,2,118,236
84cd8773-8cde-410f-a383-86e9a38f7871,2024-07-14,d0603e9a-5be2-4861-8e50-412623d09d3f,Centro-Oeste,Luciano Galvão,1,190,190
fdd6d487-72a3-48ef-9991-12c5c9bc81b3,2024-07-26,1ee3c4aa-ce8e-4b76-89f6-5481a7c574d5,Nordeste,Kaio Silva,2,199,398
e3349541-758c-4eaa-b1fb-b970bf02858b,2024-07-11,62874f4b-db90-4b57-b056-e2a70ab264a6,Norte,Estagiario,5,57,285
aeee85a9-0d84-435c-8666-ccf946923d83,2024-07-16,340f4d1e-c7cd-4597-a4f9-93694a660d05,Norte,Fabio Melo,2,170,340
016f85f4-6107-4662-81d2-8988391d3d62,2024-06-28,5a555ff7-eaa7-44f1-8706-456a5dd8746f,Norte,Luciano Galvão,10,77,770
7007a692-30fb-420f-a898-375440e0d1f2,2024-06-29,483933bb-afec-4c5b-946b-f8989fca777f,Nordeste,Fabio Melo,2,182,364
3fcb0753-a4e8-4e07-a4bc-3a69eb26aed5,2024-07-09,2ca9e1bc-636b-4554-bf91-c7c9c2ec9da2,Nordeste,Luciano Galvão,5,163,815
c6a33a6f-c505-406e-8d76-78d9ecc8573f,2024-07-24,0068a6f6-9241-44d8-94cf-220e9f85d195,Sudeste,Luciano Galvão,5,57,285
f700b055-3cf9-4da1-a2df-33c9abc3d48a,2024-07-01,66ce26d4-b3e7-4414-8d15-ec39b44ab93c,Sudeste,Fabio Melo,2,154,308
0c6d7d27-65da-4d46-ad11-89dcd758110b,2024-07-12,58bc5431-ac78-4c80-907a-7f1e5bf5e5b9,Sudeste,Estagiario,6,146,876
9c6e33d7-17d8-46b9-acb9-8cb0b30152b4,2024-07-13,fdd06814-a652-4e36-b8e0-62bacd96a4e1,Sudeste,Estagiario,3,200,600
7cedea8a-c633-4696-9801-cb9963bdd216,2024-07-08,e08f98e2-6232-4ed8-90c6-1a8313312547,Sudeste,Luciano Galvão,3,184,552
727631e7-c60e-408a-a08b-1bf51f37c2af,2024-06-27,bd2a616b-0f36-4796-a613-73911db9f429,Sudeste,Fabio Melo,7,70,490
2943d753-0f25-4c07-94ea-6e39ad6cf383,2024-06-28,f580a96f-6aa8-43bc-bdc4-623d61c4f143,Nordeste,Kaio Silva,8,140,1120
57b9eb95-6fd2-4488-88b2-7ddda4d3c236,2024-07-18,3887d0c8-65e7-4657-b42f-9712033929a4,Sudeste,Kaio Silva,10,61,610
1eef5596-3d07-426a-bd25-da196cfa9f17,2024-07-08,9db1f7ee-a241-4831-943d-b01f8f19c03c,Norte,Estagiario,6,78,468
c88d755d-fd66-4af4-84bd-3c8b9c578e0e,2024-07-04,89ba6573-8d35-4aac-8cc2-c637210bc5d2,Sul,Fabio Melo,1,130,130
3a9a6af9-4c33-42b3-9ae8-13632aab2424,2024-07-01,abcf1be8-6a9f-417f-9f0d-3689fbf331a7,Centro-Oeste,Estagiario,10,160,1600
ab1fed53-a782-4a98-8327-ad210d63f2bd,2024-07-03,321000ff-ff37-48c8-8f7a-31aeb88ab20e,Sul,Estagiario,2,123,246
d15c8efb-35c4-4622-8187-eaf165de6d62,2024-07-20,5df05c35-b312-4fe6-8e5e-2e887e383e8c,Sul,Fabio Melo,7,116,812
54f4f1a0-2f0c-4266-9a6b-e40727ccf9dc,2024-07-25,ce1b9018-3ecf-42b6-b8ae-e3c489bde76c,Norte,Luciano Galvão,7,181,1267
45f04897-d996-4432-818e-9e1d5d86631f,2024-07-17,7518eb32-432e-4e04-b6b4-82d427cd0ce5,Nordeste,Kaio Silva,6,193,1158
2721d92a-f199-4bd0-ae2d-f5a8447fde6e,2024-07-14,9bfc6cf8-c8af-42cb-93a0-838fd385ab52,Nordeste,Luciano Galvão,4,195,780
e8a44869-b54a-4c9d-8576-a614fdd86a51,2024-07-26,570feb29-5288-4889-bece-efc580a8a0f2,Sudeste,Fabio Melo,7,184,1288
f81ec78f-24ff-4a63-b970-1cfa8029765f,2024-07-06,a2b55d90-c513-430a-bdca-01421fc743b3,Sul,Fabio Melo,6,139,834
0e667bc5-c907-43b3-9076-111bd95ef5df,2024-07-05,4e07dc06-543a-42ef-bba4-f4cb09ddae13,Sudeste,Estagiario,3,75,225
81d12b64-e795-4990-a8a9-b129b585145e,2024-07-25,ae5c84b6-b0b0-4865-952f-a2cd1704be87,Nordeste,Fabio Melo,7,111,777
2ef222d6-7dba-4c86-9439-4efdf6d49ac3,2024-07-03,4cecc812-919e-484f-9830-dd467998b9d7,Sudeste,Luciano Galvão,7,177,1239
43cd4569-fb30-47b3-8d7f-d2382c220149,2024-07-06,afd0694b-ea99-4fed-8440-7403b7f607b5,Centro-Oeste,Fabio Melo,2,102,204
b6798d4e-bcd3-4915-89b7-f4b5c90c55e9,2024-07-02,56774962-2699-47f8-93c4-e994b3a5d582,Norte,Estagiario,9,181,1629
1349a5f1-7a03-49bd-9fc6-48831a0df616,2024-07-24,794d0149-0529-4e4f-a897-a3c7045a82f6,Centro-Oeste,Estagiario,2,90,180
64ebb589-0336-4bad-a66f-041c138c4086,2024-07-26,7937db13-5b66-46de-b940-8a17f76ceef5,Sudeste,Kaio Silva,3,88,264
27b2c11d-3f0b-4acf-8026-47dc998296df,2024-07-06,2b51d3a6-0df1-4dde-85f5-0881b0a9adbf,Sudeste,Luciano Galvão,6,54,324
f934255a-a85d-4429-97b0-c988ee730930,2024-06-30,13095350-9e31-4c53-8b8d-c5210bec6d80,Norte,Luciano Galvão,10,87,870
9ad4d6a4-1b35-41ab-8782-375b2f5ad466,2024-07-24,3521cd46-7ef4-4f38-a3b5-76f1b3db6549,Norte,Fabio Melo,6,82,492
c21a86f7-fab0-4d99-9ee3-1b777c10f44f,2024-07-21,a160a659-b1b6-4e43-95ad-4903e8d7d0ce,Nordeste,Luciano Galvão,5,121,605
5691fe54-52e1-4710-af71-ad6d8fc1f421,2024-07-21,4b987b46-c96b-41de-a811-7290fc56bc56,Sudeste,Luciano Galvão,1,64,64
772eabbe-ac88-4fad-a1c6-16cf8cd830c3,2024-07-02,9b410664-e1bc-4b91-8d1f-9116a1f15551,Centro-Oeste,Luciano Galvão,1,94,94
e3d64447-d154-4bb4-a404-fe008cd954f9,2024-07-18,2c67a42e-73f8-46dd-aeda-2e071611599b,Nordeste,Kaio Silva,3,180,540
a586692e-0a61-4051-9de9-a017c690b253,2024-06-28,81c4b33b-9396-428e-9fa9-c76e54f7d3f9,Norte,Fabio Melo,10,85,850
540ce93e-873d-48e1-8b76-26a3f813fbd9,2024-07-07,748e06ec-e385-46ba-b990-e426c59fd0db,Sudeste,Kaio Silva,9,162,1458
437cc8f0-ccdf-4b00-9118-599eba947197,2024-07-13,b8cba57b-bfb9-4bc4-80b2-5cc628c47f65,Centro-Oeste,Kaio Silva,10,50,500
c5c22545-b129-4516-8747-de0fb51238ef,2024-07-16,4d492f18-fb15-404d-b0a8-875061bf6604,Nordeste,Fabio Melo,4,160,640
0004c572-d038-4081-b8a8-43148be81db7,2024-06-28,d3668eec-17d3-4b86-9daf-c50199eed1a1,Sul,Kaio Silva,10,148,1480
9861fad3-d1de-44e7-8443-5d9cd4214dd5,2024-07-05,76f689e0-3bfd-4220-9e1d-852e68350cd4,Nordeste,Luciano Galvão,7,87,609
77ac077d-655d-49f6-a739-ce7728a8856e,2024-07-13,df0d935a-9deb-442b-99e4-9e54ff880c69,Nordeste,Estagiario,10,162,1620
893c4e2b-a2d8-4eec-ac06-8406bdda5cfa,2024-07-19,7cccb72a-0102-43fe-ab4e-6c99cd6a6747,Centro-Oeste,Kaio Silva,2,119,238
b6019a08-1d34-4694-b78c-4829405fd95a,2024-06-28,edd30962-bc47-4f9a-8c6f-21508fb8c488,Norte,Estagiario,3,160,480
3e3b373f-7b3d-4f5b-82b2-42f60ed3bab0,2024-07-09,e985224d-e138-47dc-89e6-0c32b1947361,Norte,Kaio Silva,1,69,69
b93d20a7-baac-44d4-b9f9-6567d3ad4540,2024-07-22,a618ddae-85ad-47b9-89c9-b209df3d1f6f,Centro-Oeste,Estagiario,9,131,1179
cbb66ba6-df86-4288-b738-d234c1783cb9,2024-07-22,3ef9c484-e542-435f-a9a3-26c81348841a,Sudeste,Luciano Galvão,3,69,207
